symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
VSCAO,48hs,,,,,,8500.0,,,,
VSCBD,48hs,,,,,,,,,,
VSCBO,spot,,,,,,,,,,
VSCBO,24hs,,,,,,9743.0,,,,
VSCBO,48hs,,,,,,,,,,
VSCDC,48hs,,,,,,,,,,
VSCDO,48hs,,,,,,,,,,
WNC9C,spot,,,,,,,,,,
WNC9C,24hs,,,,,,,,,,
WNC9C,48hs,,,,,,,,,,
WNC9D,spot,,,,,,,,,,
WNC9D,24hs,,,,,,,,,,
WNC9D,48hs,,,,,,,,,,
WNC9O,spot,,,,,,,,,,
WNC9O,24hs,,,,,,,,,,
WNC9O,48hs,,,,,,,,,,
YCA6C,spot,,,,,,89.1,,,,
YCA6C,24hs,,,,,,82.75,,,,
YCA6C,48hs,,,,,,82.0,,,,
YCA6O,spot,,,,,,15593.0,,,,
YCA6O,24hs,,,,,,10469.87,,,,
YCA6O,48hs,15800.0,-1.24,15999.0,15999.0,15800.0,15999.0,317990.0,2000.0,2.0,2021-09-01 16:10:46
YCA6P,spot,,,,,,87.0,,,,
YCA6P,24hs,,,,,,91.0,,,,
YCA6P,48hs,93.0,-0.53,93.0,93.0,92.5,93.5,17653.0,19000.0,12.0,2021-09-01 15:56:21
YMCBO,spot,,,,,,7950.0,,,,
YMCBO,24hs,,,,,,7887.0,,,,
YMCBO,48hs,,,,,,9622.5,,,,
YMCHC,spot,,,,,,85.55,,,,
YMCHC,24hs,,,,,,92.0,,,,
YMCHC,48hs,,,,,,92.0,,,,
YMCHD,spot,,,,,,90.5,,,,
YMCHD,24hs,,,,,,94.76,,,,
YMCHD,48hs,,,,,,90.0,,,,
YMCHO,spot,,,,,,15402.96,,,,
YMCHO,24hs,,,,,,11909.04,,,,
YMCHO,48hs,,,,,,16200.0,,,,
YMCIC,spot,,,,,,,,,,
YMCIC,24hs,,,,,,,,,,
YMCIC,48hs,,,,,,,,,,
YMCID,spot,,,,,,71.0,,,,
YMCID,24hs,,,,,,,,,,
YMCID,48hs,,,,,,72.0,,,,
YMCIO,spot,,,,,,12100.0,,,,
YMCIO,24hs,,,,,,,,,,
YMCIO,48hs,12664.0,1.39,12490.0,12664.0,12490.0,12490.0,153356.0,1224.0,3.0,2021-09-01 16:54:11
YMCJD,spot,,,,,,,,,,
YMCJD,24hs,,,,,,,,,,
YMCJD,48hs,,,,,,55.0,,,,
YMCJO,spot,,,,,,9807.0,,,,
YMCJO,24hs,,,,,,,,,,
YMCJO,48hs,10445.0,-0.04,10450.0,10450.0,10445.0,10450.0,178694.0,1710.0,4.0,2021-09-01 16:13:33
YPCUD,spot,,,,,,99.5,,,,
YPCUD,24hs,,,,,,96.84,,,,
YPCUD,48hs,99.8,-0.2,100.0,100.4,99.5,100.0,157399.0,158000.0,23.0,2021-09-01 17:00:14
YPCUO,spot,,,,,,16965.0,,,,
YPCUO,24hs,,,,,,16500.0,,,,
YPCUO,48hs,,,,,,17100.0,,,,
